"gene","logFC","FDR","add_variable","start","end","width","strand"
"SCO0644",-2.1,0.003,NA,685288,687444,2157,"-"
"SCO1105",2.5,1.5e-05,NA,1162399,1163901,1503,"-"
"SCO1294",2.4,0.011,NA,1368938,1370161,1224,"-"
"SCO1528",2.9,0.019,NA,1632106,1634304,2199,"+"
"SCO1550",-2.2,0.003,NA,1658389,1658571,183,"-"
"SCO1573",-2.1,0.028,NA,1683419,1684756,1338,"+"
"SCO1611",2.2,2.1e-05,NA,1722499,1723281,783,"-"
"SCO1612",2.3,0.00022,NA,1723278,1724729,1452,"-"
"SCO1613",2.3,0.00013,NA,1724726,1726114,1389,"-"
"SCO1700",-2,0.025,NA,1820169,1820483,315,"-"
"SCO1705",2.2,0.028,NA,1824517,1825614,1098,"-"
"SCO1706",2.9,0.003,NA,1825638,1827026,1389,"-"
"SCO1746",3,6e-05,NA,1865777,1866679,903,"-"
"SCO2113",-2.9,0.008,NA,2271144,2271647,504,"+"
"SCO2165",-18.8,1.3e-10,NA,2329632,2330315,684,"-"
"SCO2166",-39.6,3.9e-17,NA,2330312,2331562,1251,"-"
"SCO2275",2.1,0.021,NA,2444536,2445690,1155,"+"
"SCO2360",-4,0.002,NA,2527923,2528804,882,"+"
"SCO2494",4,0.001,NA,2684904,2687633,2730,"-"
"SCO2517",2.4,0.049,NA,2712740,2713423,684,"-"
"SCO2518",2.5,0.021,NA,2713432,2714775,1344,"-"
"SCO2519",4.7,0.005,NA,2714777,2716855,2079,"-"
"SCO2616",3,0.001,NA,2841719,2842726,1008,"+"
"SCO2722",-5.3,5.6e-13,NA,2966690,2967589,900,"-"
"SCO2723",-6.6,9.3e-20,NA,2967586,2970186,2601,"-"
"SCO2783",-2.1,0.008,NA,3037106,3038347,1242,"+"
"SCO2785",-2.1,0.008,NA,3038895,3040682,1788,"+"
"SCO2967",-2.1,0.01,NA,3227576,3228700,1125,"-"
"SCO2979",2.3,0.008,NA,3244399,3245682,1284,"+"
"SCO2980",2.3,0.008,NA,3245679,3246596,918,"+"
"SCO3589",-2.2,0.002,NA,3966835,3967929,1095,"-"
"SCO3590",-2.5,0.00094,NA,3967922,3968617,696,"-"
"SCO3592",-3.9,0.006,NA,3968822,3969814,993,"+"
"SCO3593",-4.2,0.00024,NA,3970005,3971198,1194,"+"
"SCO3594",-4,0.00024,NA,3971293,3972306,1014,"+"
"SCO3595",-4.3,4.5e-05,NA,3972317,3973357,1041,"+"
"SCO3596",-3.6,0.007,NA,3973354,3973962,609,"+"
"SCO3657",2.9,1.5e-05,NA,4035996,4036406,411,"-"
"SCO3731",-2.3,0.005,NA,4105340,4105543,204,"+"
"SCO4002",2.5,0.007,NA,4396912,4397238,327,"+"
"SCO4011",-2.5,7.7e-06,NA,4407941,4408414,474,"+"
"SCO4043",-2,0.027,NA,4436888,4437184,297,"-"
"SCO4189",3,0.002,NA,4598300,4598488,189,"-"
"SCO4214",-2.2,0.021,NA,4622993,4623433,441,"-"
"SCO4224",-2.3,0.01,NA,4629724,4630989,1266,"-"
"SCO4979",3.7,0.008,NA,5416288,5418117,1830,"+"
"SCO5031",-3.1,0.001,NA,5467332,5467868,537,"-"
"SCO5142",-2.2,0.039,NA,5589711,5590070,360,"+"
"SCO5207",4.2,0.00032,NA,5667547,5667984,438,"-"
"SCO5232",-2.4,0.007,NA,5692292,5693569,1278,"+"
"SCO5249",3.1,7.4e-07,NA,5709624,5711030,1407,"+"
"SCO5250",2.3,0.031,NA,5711116,5712276,1161,"+"
"SCO5402",-3.4,0.001,NA,5874400,5875173,774,"-"
"SCO5403",-3.3,0.00036,NA,5875298,5875966,669,"+"
"SCO5404",-3,0.001,NA,5875963,5877399,1437,"+"
"SCO5447",5.5,2.7e-12,NA,5927688,5929742,2055,"-"
"SCO5575",-2,0.042,NA,6072276,6073466,1191,"-"
"SCO5883",2.5,0.039,NA,6440423,6441208,786,"-"
"SCO5884",3.3,5.1e-06,NA,6441276,6442166,891,"-"
"SCO5885",3.9,1.1e-11,NA,6442174,6442614,441,"-"
"SCO5888",3.4,0.00037,NA,6444587,6445594,1008,"+"
"SCO5889",3.7,0.00016,NA,6445654,6445917,264,"+"
"SCO5890",3,5.3e-05,NA,6445914,6447836,1923,"+"
"SCO5891",3,1.5e-05,NA,6447950,6449548,1599,"+"
"SCO5892",2.8,8.4e-06,NA,6449549,6456442,6894,"+"
"SCO5893",3.3,2.7e-06,NA,6456446,6457489,1044,"+"
"SCO5894",3.1,2.3e-05,NA,6457476,6458318,843,"+"
"SCO5895",3.5,1.1e-06,NA,6458306,6459394,1089,"+"
"SCO5896",3.2,1.7e-07,NA,6459417,6462218,2802,"+"
"SCO5897",2.5,0.002,NA,6462296,6463483,1188,"+"
"SCO6026",2.4,0.023,NA,6613171,6615300,2130,"-"
"SCO6027",2.6,0.008,NA,6615297,6616514,1218,"-"
"SCO6045",2.7,3.8e-05,NA,6637343,6638659,1317,"-"
"SCO6282",2.8,0.006,NA,6941746,6942543,798,"-"
"SCO6286",2.1,0.005,NA,6945705,6946379,675,"-"
"SCO6414",3.2,3e-05,NA,7081657,7082499,843,"+"
"SCO6415",3.3,8e-07,NA,7082535,7083938,1404,"+"
"SCO6416",3.1,1.3e-05,NA,7083950,7084972,1023,"+"
"SCO6440",9.9,5.6e-13,NA,7123131,7123883,753,"+"
"SCO6441",9.8,2.2e-14,NA,7123886,7125292,1407,"+"
"SCO6442",9.4,2.7e-13,NA,7125293,7126396,1104,"+"
"SCO6443",9.4,4.2e-10,NA,7126477,7127388,912,"+"
"SCO6543",4,0.004,NA,7236695,7236940,246,"-"
"SCO6728",-2.6,0.019,NA,7481296,7481442,147,"+"
